home_elo,away_elo,elo_diff,elo_expected_home,elo_expected_away,elo_strong_home,elo_strong_away,elo_balanced,h_form_pts,h_scored,h_conceded,h_form_trend,h_clean_sheets,h_win_rate,h_home_form_pts,h_home_scored,h_home_conceded,h_home_win_rate,h_home_cs,a_form_pts,a_scored,a_conceded,a_form_trend,a_clean_sheets,a_win_rate,a_away_form_pts,a_away_scored,a_away_conceded,a_away_win_rate,a_away_cs,h_short_form,a_short_form,momentum_diff,trend_diff,h2h_home_win_rate,h2h_draw_rate,h2h_home_goals_avg,h2h_away_goals_avg,h2h_over25_rate,h2h_btts_rate,h2h_dominance,h2h_n,h_league_pos,a_league_pos,pos_diff,form_diff,scored_diff,conceded_diff,attack_vs_def,away_att_vs_h_def,home_xg_proxy,away_xg_proxy,xg_diff,total_xg,matchday,league_epl,league_laliga,league_bundesliga,result,over_25,btts
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,A,1,0
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,0,1,0,A,1,1
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,0,1,0,A,0,0
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,H,1,1
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,D,0,1
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,H,1,1
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,A,0,0
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,A,0,0
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,1,0,0,H,1,1
1.0,1.0,0.0,0.6400649998028851,0.3599350001971149,0,0,1,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.2,1.1,0.45,0.2,0.5,1.2,1.1,0.0,0.2,0.4,0.5,1.0,1.3,0.35,0.15,0.5,0.5,0.0,0.0,0.33,0.28,1.4,1.2,0.52,0.48,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09999999999999987,0.09999999999999987,1.2,1.12,0.07999999999999985,2.3200000000000003,0.02631578947368421,0,1,0,A,0,0
